2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4243, 448) (rg: 95/32, 23/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4247, 448) (rg: 94/32, 24/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4246, 448) (rg: 95/32, 24/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4247, 448) (rg: 94/32, 24/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4248, 448) (rg: 94/32, 25/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4248, 448) (rg: 94/32, 25/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4253, 448) (rg: 91/32, 27/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4234, 460) (rg: 111/32, 15/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4233, 460) (rg: 112/32, 15/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4239, 460) (rg: 106/32, 15/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4254, 448) (rg: 91/32, 27/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:30:52 - TextLog: VERBOSE: Rangecheck failed for Niki (4254, 448) (rg: 91/32, 28/32)
2021-06-05 16:30:52 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:01 - TextLog: VERBOSE: Rangecheck failed for Niki (4256, 494) (rg: 105/32, 16/32)
2021-06-05 16:31:01 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:01 - TextLog: VERBOSE: Rangecheck failed for Niki (4258, 494) (rg: 104/32, 16/32)
2021-06-05 16:31:01 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:01 - TextLog: VERBOSE: Rangecheck failed for Niki (4258, 494) (rg: 105/32, 16/32)
2021-06-05 16:31:01 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:01 - TextLog: VERBOSE: Rangecheck failed for Niki (4259, 494) (rg: 104/32, 16/32)
2021-06-05 16:31:01 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:06 - TextLog: VERBOSE: Rangecheck failed for Niki (4302, 456) (rg: 97/32, 22/32)
2021-06-05 16:31:06 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:06 - TextLog: VERBOSE: Rangecheck failed for Niki (4304, 456) (rg: 97/32, 22/32)
2021-06-05 16:31:06 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:06 - TextLog: VERBOSE: Rangecheck failed for Niki (4300, 460) (rg: 101/32, 18/32)
2021-06-05 16:31:06 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:06 - TextLog: VERBOSE: Rangecheck failed for Niki (4301, 460) (rg: 100/32, 18/32)
2021-06-05 16:31:06 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 98/32, 22/32)
2021-06-05 16:31:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 98/32, 22/32)
2021-06-05 16:31:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:17 - TextLog: VERBOSE: Rangecheck failed for Niki (4217, 494) (rg: 98/32, 22/32)
2021-06-05 16:31:17 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4202, 448) (rg: 103/32, 16/32)
2021-06-05 16:31:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4204, 448) (rg: 103/32, 16/32)
2021-06-05 16:31:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
2021-06-05 16:31:19 - TextLog: VERBOSE: Rangecheck failed for Niki (4205, 448) (rg: 102/32, 16/32)
2021-06-05 16:31:19 - TextLog: VERBOSE: Bouncer / OnItemDrop rejected from range check from Niki
